,open_covid_region_code,region_name,date,symptom:Aphonia,symptom:Crackles,symptom:Dysautonomia,symptom:Laryngitis,symptom:Ventricular fibrillation,hospitalized_new,hospitalized_cumulative
60,US-NH,New Hampshire,2020-03-09,35.66268153355617,32.364784738802,34.55448139604768,54.12823322240235,25.234918793867894,0.0,0.0
61,US-NH,New Hampshire,2020-03-16,18.22521912890459,35.23542364921555,26.46328521134718,41.36390392772632,16.649705680398554,0.0,0.0
62,US-NH,New Hampshire,2020-03-23,15.701727249517802,32.89885709422778,27.611540775512598,30.255198934870187,25.128104322782743,0.0,0.0
63,US-NH,New Hampshire,2020-03-30,15.461394689576203,29.614312108359254,21.149265274860714,23.592646300933637,13.338457076758745,12.0,45.0
64,US-NH,New Hampshire,2020-04-06,13.698955916671144,29.667719343901833,24.3937548340723,18.785995102101655,21.92367019022809,6.0,92.0
65,US-NH,New Hampshire,2020-04-13,11.936517143766084,22.431038927882575,20.334804932836406,17.91812752453477,23.565942683162344,6.0,152.0
66,US-NH,New Hampshire,2020-04-20,12.977958236846348,19.306715648641788,27.264393744485847,16.222447796057935,18.986272235386323,6.0,198.0
67,US-NH,New Hampshire,2020-04-27,8.505102260155477,21.34954240814538,15.84859714725989,14.019399329926609,21.34954240814538,4.0,242.0
68,US-NH,New Hampshire,2020-05-04,13.952640285498386,16.08892970720149,26.91724671345909,14.606878920894962,19.0396794709289,9.0,286.0
69,US-NH,New Hampshire,2020-05-11,12.857791956875548,15.020784996349938,28.212372175366593,13.191587179016658,23.539239065391058,5.0,318.0
70,US-NH,New Hampshire,2020-05-18,13.211614892345123,20.214638652865606,20.041065137352227,15.034136805235581,26.089434562549137,12.0,359.0
71,US-NH,New Hampshire,2020-05-25,13.5654378278147,15.96876342723069,23.51253544761977,11.669480966053197,20.08112056400916,0.0,419.0
72,US-NH,New Hampshire,2020-06-01,10.628039872972934,12.697570250247814,23.499183638734127,16.46278035599953,23.15203660770737,2.0,451.0
73,US-NH,New Hampshire,2020-06-08,12.096738850393818,12.977958236846348,34.54112958716204,14.032751138812253,21.563171350315688,2.0,489.0
74,US-NH,New Hampshire,2020-06-15,15.835245338374245,19.07973489758583,30.05492180158552,10.801613388486311,19.440233737498232,6.0,519.0
75,US-NH,New Hampshire,2020-06-22,10.587984446316,18.185163702247657,25.06134527835452,12.74430158134757,19.947602475152717,2.0,553.0
76,US-NH,New Hampshire,2020-06-29,11.989924379308663,11.989924379308663,27.571485348855663,14.68698977420883,22.204058176826617,3.0,565.0
77,US-NH,New Hampshire,2020-07-06,14.11286199212612,18.652477013245214,25.622121251551587,15.688375440632157,18.30532998221846,1.0,570.0
78,US-NH,New Hampshire,2020-07-13,9.706765059863471,17.651091346821882,32.4849510187728,15.54150554289007,19.77402895963934,0.0,589.0
79,US-NH,New Hampshire,2020-07-20,16.142336942744066,15.795189911717312,37.43847211534687,17.744554009021392,25.194863367210964,0.0,673.0
80,US-NH,New Hampshire,2020-07-27,17.143722609167394,16.075577898315842,39.05404099050984,20.495026639464136,24.380403025186656,0.0,688.0
81,US-NH,New Hampshire,2020-08-03,9.933745810919426,12.951254619075057,38.49326501731277,15.434691071804915,24.300292171872787,1.0,696.0
82,US-NH,New Hampshire,2020-08-10,14.473360832038518,15.181006702977669,37.959192661887,20.84217367049089,23.485831829848482,3.0,704.0
83,US-NH,New Hampshire,2020-08-17,13.965992094384033,15.034136805235581,35.195368222558606,20.161231417323027,25.114752513897095,1.0,709.0
84,US-NH,New Hampshire,2020-08-24,13.164883561245368,18.87945776430117,39.494650683736104,16.796575578140644,24.420458451843587,1.0,712.0
85,US-NH,New Hampshire,2020-08-31,20.575137492778005,16.743168342598064,29.10694337070477,17.437462404651573,22.137299132398397,0.0,714.0
86,US-NH,New Hampshire,2020-09-07,13.538734210043412,16.58294663597033,30.97619661469498,17.771257626792682,31.48356535234947,0.0,718.0
87,US-NH,New Hampshire,2020-09-14,12.617459396933947,24.901123571726785,31.96423047223267,18.505607115503125,28.77314814856366,0.0,721.0
88,US-NH,New Hampshire,2020-09-21,17.97153476007735,22.671371487824175,36.62401177332256,22.51114978119644,29.894700094957788,1.0,726.0
89,US-NH,New Hampshire,2020-09-28,16.529539400427755,27.611540775512598,47.43897697069452,20.828821861605245,26.449933402461532,1.0,737.0
90,US-RI,Rhode Island,2020-03-02,14.011115029815912,13.225278112911004,11.46607501483979,22.24454272738779,12.734130039845438,0.0,0.0
91,US-RI,Rhode Island,2020-03-09,13.180628288086861,11.29640568050805,14.27008401379594,21.69981486453325,10.010490725572746,0.0,0.0
92,US-RI,Rhode Island,2020-03-16,10.742747852688682,18.42251772244119,8.670995980848472,18.12782887860185,8.572766366235356,0.0,0.0
93,US-RI,Rhode Island,2020-03-23,9.751521741592718,17.154462697435545,6.134885930837178,13.537826886680001,13.537826886680001,0.0,0.0
94,US-RI,Rhode Island,2020-03-30,8.412026996868445,11.992942947764671,6.893932952847599,10.019420690537574,9.305023493351294,0.0,0.0
95,US-RI,Rhode Island,2020-04-06,7.688699834717336,12.457301125935754,8.429886926798101,7.143971971862798,11.814343648468101,0.0,0.0
96,US-RI,Rhode Island,2020-04-13,6.643893933832403,7.706559764646994,8.32272734722016,9.206793878738182,11.421425190015647,331.0,331.0
97,US-RI,Rhode Island,2020-04-20,6.768913443340001,8.528116541411215,7.742279624506307,10.287319639482428,9.939051005854118,24.0,629.0
98,US-RI,Rhode Island,2020-04-27,4.581072026957019,9.876541251100319,8.528116541411215,6.108096035942692,9.876541251100319,27.0,718.0
99,US-RI,Rhode Island,2020-05-04,6.06344621111855,8.590626296165015,6.42064480971169,6.688543758656545,10.4034091840252,48.0,1061.0
100,US-RI,Rhode Island,2020-05-11,6.313485230133748,9.367533248105094,9.188933948808524,6.867143057953115,8.161987977853247,29.0,1280.0
101,US-RI,Rhode Island,2020-05-18,9.108564264125066,5.357978978897099,9.769381671522376,6.108096035942692,9.483622792647864,20.0,1438.0
102,US-RI,Rhode Island,2020-05-25,4.741811396323932,4.554282132062533,11.091016486316994,6.349205089993062,10.046210585432059,0.0,1580.0
103,US-RI,Rhode Island,2020-06-01,5.929496736646122,5.554438208123325,7.251131551440739,7.063602287179341,12.332281616428155,23.0,1724.0
104,US-RI,Rhode Island,2020-06-08,7.39847597336041,8.617416191059501,12.350141546357811,7.277921446335226,11.492864909734275,32.0,1807.0
105,US-RI,Rhode Island,2020-06-15,8.867455210074697,8.063758363240133,9.358603283140265,7.670839904787679,10.456988973814171,29.0,1882.0
106,US-RI,Rhode Island,2020-06-22,7.286851411300054,7.385081025913167,13.680706326117258,9.054984474336097,9.939051005854118,28.0,1950.0
107,US-RI,Rhode Island,2020-06-29,8.43881689176293,6.11702600090752,14.537982962740795,7.322571271159367,6.518874424324803,11.0,1995.0
108,US-RI,Rhode Island,2020-07-06,9.590782372225807,8.31379738225533,13.895025485273143,9.197863913773354,9.885471216065147,0.0,2019.0
109,US-RI,Rhode Island,2020-07-13,8.233427697571875,7.447590780666967,12.251911931744699,6.465294634535832,9.706871916768575,15.0,2066.0
110,US-RI,Rhode Island,2020-07-20,6.697473723621373,6.9921625674607135,11.725043998819817,9.358603283140265,6.9921625674607135,22.0,2110.0
111,US-RI,Rhode Island,2020-07-27,7.233271621511083,8.206637802677388,9.769381671522376,7.233271621511083,8.108408188064276,28.0,2174.0
112,US-RI,Rhode Island,2020-08-03,6.813563268164144,8.590626296165015,14.91304149126359,5.036500240163273,9.38539317803475,20.0,2231.0
113,US-RI,Rhode Island,2020-08-10,5.974146561470265,9.501482722577522,14.109344644429026,6.563524249148945,11.17138617100045,0.0,2311.0
114,US-RI,Rhode Island,2020-08-17,4.643581781710819,6.027726351259235,14.511193067846309,9.778311636487205,12.53767081061921,0.0,2380.0
115,US-RI,Rhode Island,2020-08-24,5.188309644565357,9.412183072929235,13.350297622418603,7.394010990877995,11.242825890719079,0.0,2460.0
116,US-RI,Rhode Island,2020-08-31,8.063758363240133,9.51041268754235,11.430355154980477,7.01002249739037,9.126424194054724,0.0,2519.0
117,US-RI,Rhode Island,2020-09-07,7.295781376264882,10.849907432266624,11.966153052870187,10.001560760607916,10.75167781765351,2.0,2589.0
118,US-RI,Rhode Island,2020-09-14,7.54582039528008,9.965840900748603,11.671464209030846,8.528116541411215,10.233739849693459,0.0,2644.0
119,US-RI,Rhode Island,2020-09-21,8.001248608486334,10.3408994292714,15.555998968731243,9.171074018878866,14.475473207986996,0.0,2693.0
120,US-RI,Rhode Island,2020-09-28,6.384924949852376,8.537046506376043,16.547225079827207,8.813875420285726,12.493020985795068,0.0,2725.0
121,US-SD,South Dakota,2020-03-09,9.529061384059531,6.327397997383487,4.726566304045464,12.268824716926582,5.871825341571876,0.0,0.0
122,US-SD,South Dakota,2020-03-16,4.429178598168441,7.301817288980543,5.087227989896323,10.250384755761248,6.523547335302376,0.0,0.0
123,US-SD,South Dakota,2020-03-23,6.384344579359938,7.384073462946529,5.447889675747182,6.238814425420118,3.941968952369913,0.0,0.0
124,US-SD,South Dakota,2020-03-30,3.125734610707443,6.60580350926836,5.185302658855768,5.612402023679152,6.820935041179399,0.0,0.0
125,US-SD,South Dakota,2020-04-06,3.261773667651188,6.346380191375637,4.922715641964353,3.42944971458185,5.251740337828295,1.0,23.0
126,US-SD,South Dakota,2020-04-13,3.3978127245949326,2.8346743028278025,4.660128625072939,4.39121421018414,4.53674436412396,1.0,44.0
127,US-SD,South Dakota,2020-04-20,2.9295852727885543,3.2269729786655783,4.397541608181523,3.2965743566367967,5.935099321545711,13.0,87.0
128,US-SD,South Dakota,2020-04-27,3.470577801564842,3.071951727729683,3.5180332865452186,3.363012035609323,4.64431013007948,15.0,150.0
129,US-SD,South Dakota,2020-05-04,4.01157033034113,2.916930476793788,3.8027661964274757,3.42944971458185,5.397270491768114,14.0,211.0
130,US-SD,South Dakota,2020-05-11,4.060080381654404,3.638253848495505,4.087499106309733,3.416794918587083,4.233029260249553,2.0,263.0
